UserID,Age,Gender,Device,OS,Source,IsNewUser
263,37,Female,Samsung S21,Android,Paid Ads,0
264,52,Female,Google Pixel 7,Android,Organic,0
265,42,Male,iPhone 12,iOS,nan,1
266,52,Male,Samsung S21,nan,Organic,0
267,42,Female,Samsung S21,Android,Referral,1
268,46,Male,Xiaomi Note 11,Android,Organic,1
269,35,Female,Samsung S21,Android,Organic,0
270,35,Female,iPhone 12,iOS,Paid Ads,0
271,19,Female,iPhone 14,nan,Organic,0
272,52,Male,Samsung S21,Android,Organic,1
273,33,Male,iPhone 14,iOS,Paid Ads,0
274,58,Male,Samsung S21,Android,Organic,0
275,53,Female,Google Pixel 7,Android,Organic,0
276,50,Female,Samsung S23,Android,Organic,1
277,21,Female,Samsung S23,Android,Referral,0
278,50,Female,nan,Android,Organic,1
279,31,Male,Samsung S23,Android,Paid Ads,0
280,38,Male,Huawei P50,Android,Organic,0
281,37,Female,Samsung S21,Android,Organic,1
282,25,Female,Samsung S23,Android,Organic,0
283,24,Male,Samsung S21,Android,Paid Ads,1
284,20,Male,Samsung S23,Android,Organic,0
285,34,Male,Xiaomi Note 11,Android,Organic,0
286,50,Male,Samsung S21,Android,Organic,0
287,29,Female,Google Pixel 7,Android,Referral,1
288,39,Female,Samsung S23,Android,Referral,1
289,39,Female,iPhone 12,iOS,Organic,0
290,47,Female,Xiaomi Note 11,Android,Organic,0
291,55,Female,Google Pixel 7,Android,Paid Ads,0
292,55,Female,Samsung S21,Android,Referral,0
293,25,Male,iPhone 12,iOS,Organic,1
294,44,Female,Huawei P50,Android,Paid Ads,1
295,44,Male,nan,Android,Referral,0
296,51,Male,iPhone 12,iOS,Organic,1
297,38,Male,Huawei P50,Android,Organic,0
298,47,Female,Samsung S21,Android,Organic,0
299,50,Male,Huawei P50,Android,nan,1
300,45,Male,Xiaomi Note 11,Android,Paid Ads,1
301,50,Male,Huawei P50,Android,Organic,0
302,22,Female,Google Pixel 7,Android,Organic,0
303,36,Female,iPhone 12,iOS,Paid Ads,0
304,21,Female,iPhone 12,iOS,Organic,1
305,52,Male,Samsung S23,Android,Organic,0
306,34,Male,iPhone 14,iOS,Paid Ads,1
307,45,Female,Samsung S23,Android,Organic,0
308,47,Male,nan,Android,Organic,0
309,46,Female,Samsung S21,Android,Paid Ads,1
310,23,Female,Samsung S23,Android,Paid Ads,1
311,52,Female,Samsung S21,Android,Paid Ads,0
312,58,Female,Xiaomi Note 11,Android,Referral,1
313,54,Male,iPhone 14,iOS,Organic,0
314,41,Male,Samsung S21,Android,Organic,0
315,46,Female,Huawei P50,Android,Organic,1
316,48,Male,Huawei P50,Android,Organic,0
317,52,Male,Google Pixel 7,Android,Referral,0
318,50,Male,Google Pixel 7,Android,Organic,0
319,38,Male,Samsung S23,Android,Organic,1
320,49,Male,Google Pixel 7,Android,Organic,0
321,40,Male,Samsung S21,Android,Organic,1
322,50,Female,iPhone 14,iOS,Organic,1
323,20,Female,Samsung S21,Android,Organic,0
324,35,Female,iPhone 14,iOS,Organic,1
325,42,Female,Samsung S21,Android,Organic,1
326,59,Male,Samsung S21,Android,Paid Ads,0
327,48,Male,Xiaomi Note 11,Android,Paid Ads,1
328,20,Male,Samsung S21,Android,Organic,0
329,57,Female,Google Pixel 7,Android,Referral,1
330,41,Female,Samsung S23,Android,Organic,1
331,49,Male,Huawei P50,Android,Organic,1
332,39,Male,iPhone 12,iOS,Paid Ads,0
333,40,nan,Xiaomi Note 11,Android,nan,0
334,19,Female,Xiaomi Note 11,Android,Organic,0
335,44,Female,nan,Android,Paid Ads,0
336,59,Male,Samsung S21,Android,Paid Ads,1
337,19,Male,Samsung S21,Android,Paid Ads,1
338,43,Female,iPhone 14,iOS,Organic,1
339,34,Female,Samsung S21,Android,Paid Ads,0
340,57,Female,Samsung S23,Android,Organic,1
341,50,Female,Huawei P50,Android,Organic,1
342,26,Female,Samsung S21,Android,Paid Ads,0
343,56,Female,iPhone 14,nan,Paid Ads,1
344,46,Male,Samsung S21,Android,Referral,1
345,59,Male,iPhone 14,iOS,Organic,1
346,43,Female,Huawei P50,Android,Organic,1
347,52,Male,Huawei P50,Android,Organic,1
348,42,Female,Samsung S21,Android,Organic,0
349,41,Female,Samsung S21,Android,Organic,0
350,30,nan,Huawei P50,Android,Paid Ads,1
351,24,Male,iPhone 12,iOS,Organic,0
352,53,Male,Xiaomi Note 11,Android,Paid Ads,1
353,37,Female,Huawei P50,Android,Organic,0
354,18,Female,Samsung S23,Android,Paid Ads,1
355,25,Female,iPhone 12,iOS,Referral,0
356,33,Male,Samsung S21,nan,Organic,1
357,31,Male,Huawei P50,Android,Organic,0
358,29,Female,iPhone 12,iOS,Paid Ads,0
359,40,Female,Samsung S21,Android,Paid Ads,1
360,32,Female,Google Pixel 7,Android,Organic,0
361,45,Male,Huawei P50,Android,Organic,1
362,51,Male,Samsung S23,Android,nan,0
363,19,Male,Samsung S21,Android,Paid Ads,1
364,49,nan,Xiaomi Note 11,Android,Paid Ads,0
365,40,Female,Samsung S21,Android,Organic,0
366,39,Male,Samsung S21,Android,Paid Ads,0
367,42,Male,Huawei P50,Android,nan,0
368,39,Female,iPhone 14,iOS,Paid Ads,0
369,39,Male,iPhone 12,iOS,Organic,0
370,59,Female,Samsung S21,Android,nan,0
371,23,Female,Samsung S23,Android,Paid Ads,0
372,32,Male,Google Pixel 7,Android,Organic,0
373,54,Male,Google Pixel 7,Android,Paid Ads,1
374,50,Female,Xiaomi Note 11,Android,Organic,0
375,25,Male,Xiaomi Note 11,Android,Paid Ads,0
376,22,Male,Xiaomi Note 11,Android,Referral,0
377,56,Female,Samsung S21,Android,Paid Ads,0
378,21,Female,Samsung S21,Android,Organic,0
379,23,Female,Xiaomi Note 11,Android,Referral,0
380,49,Male,iPhone 12,iOS,Referral,0
381,47,Male,Samsung S21,Android,Organic,0
382,52,Male,Samsung S23,Android,Organic,0
383,57,Male,Samsung S23,Android,nan,1
384,33,Female,Samsung S23,Android,Organic,0
385,30,Male,Google Pixel 7,Android,Organic,0
386,59,Female,Samsung S23,Android,Organic,0
387,47,Male,Huawei P50,Android,Organic,1
388,36,Male,Samsung S21,Android,Organic,0
389,34,nan,Samsung S23,Android,Paid Ads,1
390,36,Male,iPhone 12,iOS,Organic,0
391,45,Male,Samsung S21,Android,Paid Ads,1
392,43,Male,Huawei P50,Android,Organic,1
393,54,Male,Samsung S21,Android,Organic,0
394,43,Female,Samsung S21,Android,Paid Ads,1
395,40,Male,Samsung S23,Android,Paid Ads,1
396,26,Female,iPhone 12,iOS,Referral,0
397,29,Female,Samsung S23,Android,Organic,0
398,18,Female,Samsung S21,Android,Organic,0
399,18,Male,Samsung S21,Android,Organic,0
400,51,Female,Google Pixel 7,Android,Paid Ads,0
401,49,Male,Xiaomi Note 11,Android,Organic,0
402,42,Female,Samsung S23,Android,nan,0
403,57,Female,Xiaomi Note 11,Android,Referral,1
404,18,Male,Google Pixel 7,Android,Organic,0
405,33,Female,Google Pixel 7,Android,Referral,1
406,56,Female,iPhone 14,iOS,Organic,0
407,22,Female,Samsung S21,Android,Organic,0
408,39,Male,Samsung S21,Android,Paid Ads,1
409,46,Female,iPhone 14,iOS,Organic,0
410,20,Female,iPhone 12,iOS,Organic,0
411,29,Male,iPhone 14,iOS,Organic,1
412,43,Female,Huawei P50,nan,Paid Ads,0
413,33,Male,Samsung S23,Android,Organic,0
414,54,Male,Samsung S21,Android,Paid Ads,0
415,39,Female,Xiaomi Note 11,Android,Organic,0
416,46,Female,Google Pixel 7,Android,Paid Ads,0
417,31,Female,Samsung S21,Android,Organic,1
418,45,Female,Samsung S23,Android,Referral,0
419,22,Male,iPhone 12,iOS,nan,1
420,47,Male,Xiaomi Note 11,Android,Referral,1
421,22,Female,Samsung S21,Android,Organic,0
422,29,Male,Samsung S23,Android,Organic,1
423,33,Female,Samsung S23,Android,Organic,1
424,43,Female,Xiaomi Note 11,Android,Referral,0
425,43,Male,Xiaomi Note 11,Android,Organic,0
426,38,Male,Samsung S23,Android,Paid Ads,0
427,56,Female,iPhone 12,iOS,Paid Ads,0
428,53,Female,Xiaomi Note 11,Android,Organic,0
429,50,Female,Huawei P50,Android,Paid Ads,1
430,47,Female,Google Pixel 7,Android,Organic,1
431,54,Female,nan,Android,Organic,0
432,40,Male,iPhone 14,iOS,Organic,0
433,27,Male,Samsung S21,nan,Organic,1
434,22,Male,Samsung S23,Android,Organic,0
435,53,Male,Samsung S21,Android,Paid Ads,0
436,51,Male,iPhone 12,iOS,Referral,0
437,48,Male,Samsung S23,Android,Paid Ads,0
438,27,Male,Samsung S21,Android,Organic,1
439,36,Male,Samsung S21,Android,Organic,1
440,49,Female,nan,Android,Paid Ads,0
441,18,Female,Samsung S21,Android,Referral,0
442,22,Male,iPhone 14,iOS,Organic,0
443,21,Female,iPhone 14,iOS,Organic,0
444,33,Male,Huawei P50,Android,Organic,0
445,41,Female,Google Pixel 7,Android,Referral,0
446,33,Male,iPhone 14,iOS,Paid Ads,1
447,19,Female,Samsung S21,Android,Paid Ads,1
448,45,Male,Google Pixel 7,Android,Organic,1
449,49,Female,Samsung S21,Android,Organic,1
450,44,Male,nan,Android,Paid Ads,1
451,37,Female,Samsung S23,nan,Paid Ads,1
452,41,Male,iPhone 14,iOS,Referral,0
453,29,Male,Huawei P50,Android,Paid Ads,1
454,52,Female,Samsung S21,Android,Organic,0
455,50,Male,Samsung S21,Android,Paid Ads,1
456,50,Female,Samsung S21,Android,Paid Ads,1
457,54,Male,Google Pixel 7,Android,Paid Ads,1
458,29,Male,iPhone 14,iOS,Referral,0
459,20,Female,Samsung S21,Android,Organic,1
460,18,Male,iPhone 12,iOS,Paid Ads,0
461,50,Male,Huawei P50,Android,Organic,0
462,57,Female,Samsung S21,Android,Organic,0
463,27,Female,Samsung S21,Android,Organic,0
464,46,Female,Xiaomi Note 11,Android,Paid Ads,0
465,30,Male,Google Pixel 7,Android,Referral,0
466,29,Female,Huawei P50,Android,Organic,1
467,48,Male,Samsung S21,Android,Referral,0
468,19,Male,Huawei P50,Android,Organic,0
469,52,Female,Samsung S23,Android,Organic,0
470,40,Male,iPhone 14,iOS,Paid Ads,1
471,34,Male,Huawei P50,Android,Paid Ads,0
472,43,Male,Samsung S23,Android,Organic,0
473,25,Female,Xiaomi Note 11,Android,Referral,0
474,46,Female,Huawei P50,Android,Paid Ads,1
475,43,Female,Xiaomi Note 11,Android,Referral,0
476,27,Male,iPhone 12,iOS,Referral,0
477,43,Female,Huawei P50,Android,Referral,0
478,51,Female,Samsung S21,Android,Organic,1
479,58,Male,Samsung S23,Android,nan,0
480,24,Male,Samsung S21,Android,Referral,1
481,21,Male,Samsung S21,Android,Organic,1
482,28,Male,Xiaomi Note 11,Android,Referral,1
483,46,Female,Samsung S23,Android,Paid Ads,1
484,53,Male,Xiaomi Note 11,Android,Paid Ads,1
485,42,Male,Huawei P50,Android,Organic,0
486,38,Female,Samsung S21,Android,Organic,0
487,53,Female,Xiaomi Note 11,Android,Paid Ads,1
488,27,Female,Google Pixel 7,Android,Organic,0
489,54,Male,Google Pixel 7,Android,Organic,1
490,26,Male,Samsung S23,Android,Organic,0
491,41,Male,Samsung S21,nan,Referral,0
492,52,Male,Samsung S23,Android,Organic,0
493,52,Male,Samsung S23,Android,Paid Ads,0
494,53,Female,Samsung S21,Android,Referral,0
495,35,Male,Xiaomi Note 11,Android,Organic,1
496,56,Male,iPhone 14,iOS,Organic,0
497,49,Male,nan,Android,Organic,0
498,41,Female,Google Pixel 7,Android,nan,1
499,40,Female,Samsung S21,Android,Organic,1
500,49,Female,iPhone 12,iOS,Paid Ads,0
501,54,Male,Google Pixel 7,Android,Paid Ads,0
502,29,Male,Google Pixel 7,Android,Organic,1
503,30,Male,nan,Android,Paid Ads,1
504,40,Male,Samsung S21,Android,Organic,1
505,42,Female,iPhone 12,iOS,Organic,0
506,52,nan,Huawei P50,Android,Organic,0
507,58,Female,Samsung S21,Android,Organic,0
508,47,Female,Google Pixel 7,Android,Organic,1
509,34,Female,iPhone 12,iOS,Organic,0
510,37,Male,Google Pixel 7,Android,Referral,1
511,42,nan,iPhone 14,iOS,Organic,0
512,39,Male,Xiaomi Note 11,Android,Paid Ads,0
513,30,Female,Samsung S23,Android,Organic,0
514,36,Male,nan,Android,Organic,1
515,53,Male,iPhone 12,iOS,Paid Ads,1
516,29,Female,Samsung S21,Android,Paid Ads,0
517,58,Male,iPhone 12,iOS,Organic,1
518,36,Male,Huawei P50,Android,Paid Ads,1
519,29,Male,Xiaomi Note 11,Android,Organic,0
520,26,Male,Samsung S23,Android,Organic,0
521,24,Female,iPhone 14,nan,Paid Ads,1
522,45,Female,Samsung S23,Android,Organic,1
523,31,Male,Samsung S21,Android,Organic,1
524,48,Male,Samsung S21,Android,Paid Ads,0
525,36,Female,Google Pixel 7,Android,Organic,1
526,33,Male,iPhone 12,iOS,Paid Ads,1
527,22,Male,Xiaomi Note 11,Android,Organic,1
528,52,Male,Huawei P50,Android,Referral,0
529,29,Female,Huawei P50,Android,Organic,0
530,42,Male,Google Pixel 7,Android,Organic,0
531,38,Male,Samsung S21,Android,Paid Ads,0
532,53,Female,Xiaomi Note 11,Android,Organic,0
533,40,Male,iPhone 14,iOS,Referral,0
534,33,Female,iPhone 14,iOS,Paid Ads,0
535,56,Male,Xiaomi Note 11,Android,Organic,0
536,59,Male,Huawei P50,Android,Organic,1
537,56,Male,iPhone 12,iOS,Organic,0
538,31,Male,iPhone 14,iOS,Referral,0
539,48,Female,Xiaomi Note 11,Android,Organic,0
540,22,Female,Samsung S21,Android,Organic,0
541,52,Male,Xiaomi Note 11,Android,Organic,0
542,40,Male,Samsung S21,Android,Organic,0
543,46,Male,iPhone 14,nan,Organic,1
544,28,Female,Samsung S23,Android,Referral,0
545,35,Female,Huawei P50,Android,Paid Ads,0
546,29,Male,Xiaomi Note 11,Android,Paid Ads,0
547,26,Female,Huawei P50,Android,Referral,1
548,27,Female,Samsung S21,Android,Organic,1
549,34,Female,Huawei P50,Android,nan,1
550,55,Male,Samsung S21,Android,Organic,1
551,24,Male,Huawei P50,Android,Organic,0
552,30,Male,Samsung S23,Android,Organic,1
553,57,Female,Samsung S21,Android,Paid Ads,1
554,59,Female,Samsung S21,Android,Organic,1
555,26,Female,Xiaomi Note 11,Android,Paid Ads,1
556,44,Male,iPhone 12,iOS,Organic,0
557,19,Male,Huawei P50,Android,Paid Ads,1
558,22,Male,Samsung S21,Android,Paid Ads,0
559,46,Female,Samsung S21,Android,Referral,0
560,54,Male,Samsung S21,Android,Referral,1
561,55,Male,iPhone 12,iOS,Paid Ads,0
562,36,Female,Xiaomi Note 11,Android,nan,1
563,25,Male,Xiaomi Note 11,Android,Paid Ads,1
564,18,Male,Huawei P50,Android,Paid Ads,0
565,39,Male,iPhone 12,iOS,Organic,0
566,34,Female,Huawei P50,Android,Organic,1
567,24,Female,Samsung S21,Android,Organic,0
568,42,Female,Huawei P50,Android,Paid Ads,0
